DATE,PersonalSaving,PersonalConsumptionExpenditure,GDI
1/1/2002,267405,1704810,2703004
4/1/2002,95504,1760001,2733296
7/1/2002,170418,1759476,2724615
10/1/2002,270359,1841347,2849862
1/1/2003,158347,1763448,2792726
4/1/2003,83885,1817555,2824605
7/1/2003,-36570,1840853,2847122
10/1/2003,266569,1927084,3016191
1/1/2004,-10064,1848347,2963513
4/1/2004,282770,1909345,3006661
7/1/2004,145298,1945406,3022444
10/1/2004,308035,2037652,3252680
1/1/2005,310345,1969714,3144339
4/1/2005,-11291,2027196,3217536
7/1/2005,215317,2056371,3279517
10/1/2005,174640,2178679,3454806
1/1/2006,134228,2083637,3460409
4/1/2006,207689,2164305,3456111
7/1/2006,67856,2210935,3480257
10/1/2006,287354,2310189,3628599
1/1/2007,223165,2220516,3618104
4/1/2007,57026,2306051,3608419
7/1/2007,99900,2328379,3556768
10/1/2007,136550,2422289,3678639
1/1/2008,255975,2340236,3656737
4/1/2008,-174768,2417758,3569598
7/1/2008,669694,2435725,3596977
10/1/2008,478762,2552874,3755349
1/1/2009,423829,2472893,3536907
4/1/2009,83378,2529145,3518419
7/1/2009,410204,2523004,3508050
10/1/2009,537430,2525041,3722969
1/1/2010,256893,2393588,3618735
4/1/2010,-11765,2453801,3687981
7/1/2010,138010,2482376,3728487
10/1/2010,289176,2561454,3944324
1/1/2011,365584,2468049,3827890
4/1/2011,245316,2553691,3851085
7/1/2011,264819,2572012,3908793
10/1/2011,458397,2666504,4036254
1/1/2012,321728,2576465,4093775
4/1/2012,392962,2673515,4065234
7/1/2012,504920,2686441,4016191
10/1/2012,373045,2762435,4232417
1/1/2013,249455,2686000,4177532
4/1/2013,335283,2754478,4174507
7/1/2013,427153,2754643,4186319
10/1/2013,519896,2852242,4372112
1/1/2014,337704,2747402,4355266
4/1/2014,130763,2828143,4373664
7/1/2014,190040,2847324,4417392
10/1/2014,331974,2965365,4602757
1/1/2015,427309,2843329,4560839
4/1/2015,275118,2951940,4535788
7/1/2015,317542,2980003,4537900
10/1/2015,527423,3099179,4753465
1/1/2016,686279,2953944,4600657
4/1/2016,137588,3065271,4638759
7/1/2016,302864,3087550,4725721
10/1/2016,482929,3190672,4786867
1/1/2017,558882,3055278,4884088
4/1/2017,225007,3163026,4794336
7/1/2017,116147,3190090,4826102
10/1/2017,-41792,3318455,5039675
1/1/2018,516632,3178507,5120130
4/1/2018,239497,3304215,5041012
7/1/2018,178040,3328872,5102037
10/1/2018,466633,3479032,5329898
1/1/2019,533552,3344139,5343116
4/1/2019,86437,3477141,5265457
7/1/2019,391663,3493569,5331182
10/1/2019,461247,3619592,5539195
1/1/2020,824789,3429681,5509541
4/1/2020,426908,3590032,4872663
7/1/2020,327991,3625133,5184223
10/1/2020,833091,3772768,5698312
1/1/2021,922106,3522681,5623404
4/1/2021,1245493,3294931,5723530
7/1/2021,292107,3602387,5911644
10/1/2021,1044478,3786233,6340932
1/1/2022,706593,3700129,6309144
4/1/2022,498235,4002641,6340344
7/1/2022,569141,4061088,6516337
10/1/2022,743091,4279107,6630576
1/1/2023,683889,4124683,6728964
4/1/2023,-91777,4375048,6596091
